device_id,study_id,technology_family,device_stack,active_material,ron_ohm,roff_ohm,on_off_ratio,conductance_states,variation_pct,read_noise,drift,read_voltage_v,set_voltage_v,reset_voltage_v,source_title,doi,year,notes,conductance_mode,state_count_status,state_count_notes
ZnO_01,10.3390/electronics7120445,ZnO,Ag/ZnO/FTO,ZnO,,,1000.0,2.0,,,,0.2,0.8,-0.8,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,2018,Bipolar switching; 100 switching cycles; retention >100 s without observable degradation; 300 us read/write pulses; ZnO film thickness 34 um; crystallite size 62 nm,DISCRETE_BINARY,REPORTED,Paper explicitly reports two distinct and well-resolved resistance states: HRS and LRS.
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,TiN/Ti/HfO2/W,HfO2,55.7,2530.0,45.4,,,,,-0.2,,,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,2024,"10 nm HfO2; device area 5x5 um2; experimental 100-cycle I-V data; sweep 0 to +1.3 to -1.3 to 0 V; forming near 3.5 V; HRS/LRS evaluated at -0.2 V; correlated cycle-to-cycle variability; RON/ROFF and ON/OFF ratio are approximate values derived from the experimental mean-current dashed lines in Figure 9 of DOI 10.1109/TNANO.2024.3485213 at -0.2 V (LRS ~3.59 mA, HRS ~0.079 mA). GRADUAL_MULTILEVEL behavior is supported by the same-stack multilevel study DOI 10.1016/j.mee.2017.11.007. The figure-derived electrical values are approximate and must not be described as directly tabulated.",GRADUAL_MULTILEVEL,NOT_REPORTED,"The 2024 primary study evaluates HRS and LRS as the two extreme conduction states but does not report a fixed physical conductance-state count. A 2018 same-stack TiN/Ti/HfO2/W study experimentally demonstrates multilevel conductance tuning, but no single fixed state count is imposed here."
TiOx_01,10.1186/1556-276X-9-293,TiOx,Pt/TiO2/Pt,TiO2,,8000000.0,,,,,,0.5,4.0,2.0,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,2014,31 nm TiO2; active area 5x5 um2; initial resistance about 8 Mohm; unipolar switching; programming pulse 4 V for 10 us; read pulse 0.5 V for 1 us; stochastic switching between nominally identical cells,UNKNOWN,NOT_REPORTED,Paper demonstrates stochastic switching between HRS and LRS but does not report a fixed physical conductance-state count; identical measured resistance can correspond to different filament distributions.
ZnO_02,TITLE::Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,ZnO,Ag/ZnO/Ti/Glass,ZnO,,,,2.0,,,,0.25,0.42,0.55,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,,2013,Unipolar switching; 100 nm ZnO; 150 nm Ti bottom electrode; 75 nm Ag top electrode; ON/OFF current ratio above 5; tested over 10 switching cycles,DISCRETE_BINARY,REPORTED,"Paper reports unipolar switching between two memory states, HRS/OFF and LRS/ON, corresponding to logic 0 and 1."
HfOx_02,10.1088/2634-4386/ac7327,HfOx,TiN/Ti/HfO2/TiN,HfO2,,,5.0,,,,,0.1,-0.55,0.55,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,2022,5.5 nm HfO2; experimental analog and binary switching; TiN/Ti/HfO2/TiN; maximum resistance window slightly above 5; 300-pulse programming experiments; bipolar switching; experimental variability characterized,ANALOG,NOT_REPORTED,Paper reports gradual multilevel analog resistance dynamics under weak pulse programming; no fixed conductance-state count is reported.
TaOx_02,10.1038/ncomms11142,TaOx,Ta/TaOx/Pt,TaOx,27.25,14164.31,519.8,,,,,,,," ""Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors""",10.1038/ncomms11142,2016,10-18 nm TaOx; 100000 ON/OFF switching cycles; RON and ROFF derived from reported mean conductances GON=3.67e-2 S and GOFF=7.06e-5 S; quantized conductance states; strong excess noise near conductance quantum,CONTINUOUS_QUANTIZED,NOT_APPLICABLE,"Device switches continuously; integer-multiple quantized conductance appears only in an intermediate regime and is unstable/noisy, so no fixed stable conductance-state count is assigned."
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,Au/TiO2/Ni,TiO2-x,6034.99,6682.12,1.10723,,,,,0.1,,,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,2019,24.1 nm amorphous TiO2-x; Ni top electrode; electroforming approximately 8-12 V; RON/ROFF and ON/OFF ratio derived from the Fig.2b 300 K raw I-V dataset by linear interpolation to +0.10 V inside the non-switching regime; +0.10 V is an explicit analysis assumption rather than a paper-reported standard read voltage; raw dataset DOI 10.5258/SOTON/D0930,GRADUAL_MULTILEVEL,NOT_REPORTED,Paper reports gradual interfacial resistive switching and multilevel behavior; no fixed conductance-state count is reported.
TaOx_01,10.1038/s41598-017-18329-3,TaOx,Pt/W/TaOx/Pt,TaOx,1100.0,3200000.0,2909.09,7.0,,,,0.1,,,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,2018,"Device area 2x2 um2; LRS 1.1 kohm; additional resistance states 6.5 kohm, 15.0 kohm, 53.1 kohm, 115.5 kohm and 3.2 Mohm; read voltage 0.1 V",DISCRETE_MULTILEVEL,DERIVED,"Paper reports LRS plus six multi-level resistive states, giving seven total physical resistive states for simulator state-count purposes."
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,Au/TiO2/Au,TiO2-x,9551.04,16293.87,1.705978,,,,,0.1,,,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,2019,24.1 nm amorphous TiO2-x; Au top electrode; electroforming approximately 8-12 V; RON/ROFF and ON/OFF ratio derived from the Fig.2a 300 K raw I-V dataset by linear interpolation to +0.10 V inside the non-switching regime; +0.10 V is an explicit analysis assumption rather than a paper-reported standard read voltage; raw dataset DOI 10.5258/SOTON/D0930,GRADUAL_MULTILEVEL,NOT_REPORTED,Paper reports gradual interfacial resistive switching and multilevel behavior; no fixed conductance-state count is reported.
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,Au/TiO2/Pt,TiO2-x,5368.34,11427.5,2.128684,,,,,0.1,,,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,2019,24.1 nm amorphous TiO2-x; Pt top electrode; electroforming approximately 8-12 V; RON/ROFF and ON/OFF ratio derived from the Fig.2c 300 K raw I-V dataset by linear interpolation to +0.10 V inside the non-switching regime; +0.10 V is an explicit analysis assumption rather than a paper-reported standard read voltage; raw dataset DOI 10.5258/SOTON/D0930,GRADUAL_MULTILEVEL,NOT_REPORTED,Paper reports gradual interfacial resistive switching and multilevel behavior; no fixed conductance-state count is reported.
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,Cu/anodic-TiO2/Ti,TiO2,,,80.0,,,,,,-2.0,2.0,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,2018,S2 thickest anodic TiO2 sample approximately 29 nm; experimentally reported ROFF/RON ratio 80; gradual analog bipolar switching; for 10x10 um2 S2 devices VSET approximately -2 V and VRESET approximately +2 V,ANALOG,NOT_REPORTED,"Paper reports gradual bipolar switching typical of an analog memristor and multiple resistance states, but no fixed conductance-state count."
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,TiN/HfZrO4/TiOx/TiN,HfZrO4/TiOx,,,2.0,,,,,0.1,,,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,2021,"BEOL-compatible ferroelectric analog resistive memory; 4.5 nm HfZrO4 and 3.5 nm TiOx layers; 100 mV non-destructive read-out; reversible gradual SET/RESET with intermediate resistance states; after ferroelectric wake-up the reported ON/OFF ratio increases from 1.3 to 2.0. The profile uses the post-wake-up ON/OFF=2.0 regime. Absolute RON/ROFF are not inserted, so the simulator must use normalized conductance from the reported ratio.",ANALOG,NOT_REPORTED,"The study demonstrates intermediate resistance states and analog reversible switching, including states reached by switching only a fraction of ferroelectric domains, but it does not report a fixed physical conductance-state count."
TiOx_04,10.1007/s42835-019-00107-y,TiOx,Au/TiOx/TiOy/Au,TiOx/TiOy,,,76.0,,,,,0.2,,,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,2019,"Cross-point TiOx/TiOy bilayer filamentary RRAM for neuromorphic synaptic operation. Reported active area 20 x 20 um^2. Electroforming occurs at approximately 5.62 V. Reported ON/OFF ratio is approximately 76 at 0.2 V. LTP/LTD and STDP are demonstrated. The related 2018 thesis for the same experimental platform reports gradual conductance modulation and 50 protocol-generated conductance values under a 50-pulse LTP/LTD experiment. Those 50 values are NOT treated as a fixed intrinsic physical state count. Absolute RON/ROFF are not inserted, so normalized conductance from ratio is required.",GRADUAL_MULTILEVEL,NOT_REPORTED,"Gradual multi-level behavior is experimentally demonstrated. The related thesis reports 50 different conductance values during a 50-pulse LTP/LTD protocol, but this is a programming-protocol outcome rather than a reported fixed intrinsic state capacity. Therefore no fixed physical state count is imposed."
