device_id,study_id,property_name,value,unit,value_type,source_title,doi,page,figure_or_table,source_note
HfOx_02,10.1088/2634-4386/ac7327,active_material,HfO2,,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,3,Figure 1(a),Device uses TiN/Ti/HfO2/TiN stack
HfOx_02,10.1088/2634-4386/ac7327,thickness_nm,5.5,nm,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,3,Figure 1(a),HfO2 oxide thickness
HfOx_02,10.1088/2634-4386/ac7327,conductance_mode,ANALOG,,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,"2,6",Figure 2,Paper demonstrates analog/gradual multilevel resistance dynamics under weak programming
HfOx_02,10.1088/2634-4386/ac7327,conductance_states,,,NOT_REPORTED,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,6,Figure 2,"Multiple resistance states are achieved, but no fixed state count is reported"
HfOx_02,10.1088/2634-4386/ac7327,read_voltage,0.1,V,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,6,Figure 2,Resistance read phases performed at 100 mV
HfOx_02,10.1088/2634-4386/ac7327,memory_window,>5,RHRS/RLRS,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,6,Figure 2,Maximum achievable resistance window is reported as slightly above 5
TaOx_02,10.1038/ncomms11142,device_stack,Ta/TaOx/Pt,,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,5,Methods,Simplified active device stack; Methods reports Ti adhesion/Pt/TaOx/Ta layers
TaOx_02,10.1038/ncomms11142,thickness_nm,10-18,nm,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,5,Methods,Reported TaOx film thickness range
TaOx_02,10.1038/ncomms11142,conductance_mode,CONTINUOUS_QUANTIZED,,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,1-2,Figure 1,Device switches continuously; quantized conductance occurs in an intermediate regime
TaOx_02,10.1038/ncomms11142,conductance_states,,,NOT_APPLICABLE,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,1-4,"Figures 1,3,4",No fixed stable state count; integer multiples of GQ occur in a noisy unstable quantized regime
TaOx_02,10.1038/ncomms11142,conductance_quantum,77.5,uS,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,2,Figure 1,GQ = 2e^2/h = 77.5 uS
TaOx_02,10.1038/ncomms11142,read_voltage,0.05,V,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,2,Figure 1c,Conductance read at 50 mV during stress experiment
TaOx_02,10.1038/ncomms11142,on_off_ratio,519.8,,DERIVED,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,3,Figure 2,Derived from mean GON=3.67e-2 S and GOFF=7.06e-5 S
TaOx_02,10.1038/ncomms11142,quantized_state_stability,UNSTABLE,,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,2-4,"Figures 1,3,4",Quantized conductance regime shows multistable fluctuations and enhanced noise
TiOx_02_Au,10.1038/s41598-019-44607-3,active_material,TiO2-x,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Amorphous TiO2-x active layer
TiOx_02_Au,10.1038/s41598-019-44607-3,thickness_nm,24.1 ± 0.27,nm,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer
TiOx_02_Au,10.1038/s41598-019-44607-3,conductance_mode,GRADUAL_MULTILEVEL,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,"1,10",Abstract; Discussion,Gradual SET/RESET attributed to interfacial barrier modulation; no abrupt filamentary transition
TiOx_02_Au,10.1038/s41598-019-44607-3,conductance_states,,,NOT_REPORTED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,1-12,Full article review; no fixed state-count figure/table reported,No fixed conductance-state count reported for this device
