"FullName","Length","LastWriteTime"
"C:\Users\User\Desktop\memristor_project\results\mnist_baseline_accuracy.txt","7","9/3/2026 1:26:05 AM"
"C:\Users\User\Desktop\memristor_project\results\mnist_mlp_baseline.pt","409739","9/3/2026 1:26:05 AM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure1_exhaustive_vs_zero_shot.png","129179","9/3/2026 10:37:03 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure2_zero_shot_regret.png","114048","9/3/2026 10:37:03 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure3_predicted_vs_actual.png","164353","9/3/2026 10:37:03 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure4_selected_configurations.png","137059","9/3/2026 10:37:04 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure5_device_properties_vs_accuracy.png","123224","9/3/2026 10:37:04 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure6_overall_zero_shot_summary.png","95742","9/3/2026 10:37:05 PM"
"C:\Users\User\Desktop\memristor_project\results\figures\figure7_recommendation_prediction_error.png","106934","9/3/2026 10:37:05 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ai_evaluation_evidence.csv","2661","9/8/2026 10:25:37 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\ai_evaluation_summary.txt","5274","9/8/2026 10:25:37 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\all_device_config_results.csv","513983","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\conductance_scale_invariance.csv","12737","9/7/2026 11:10:01 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\config_sweep.csv","930","9/3/2026 1:59:14 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\custom_device_Test8State_candidates.csv","69473","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\custom_device_Test8State_summary.csv","797","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\custom_device_TestGradual_candidates.csv","74699","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\custom_device_TestGradual_summary.csv","802","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\data_quality_evidence.csv","1581","9/8/2026 10:47:52 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\data_quality_summary.txt","2137","9/8/2026 10:47:52 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\design_space_evidence.csv","1442","9/8/2026 10:31:49 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\design_space_summary.txt","3837","9/8/2026 10:31:49 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\device_optimal_configs.csv","1737","9/8/2026 10:17:10 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\device_physical_features.csv","4110","9/7/2026 9:56:41 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\evidence_coverage_by_device.csv","3553","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\evidence_coverage_summary.csv","299","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\future_research_targets.csv","38834","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\future_research_target_scope.json","1659","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\future_research_target_summary.csv","321","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\HfOx_01_config_sweep.csv","37526","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\HfOx_02_config_sweep.csv","37142","9/8/2026 2:41:57 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\HfZrOx_01_config_sweep.csv","38139","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\missing_data_policy.json","1013","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ml_dataset.csv","548341","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ml_dataset_manifest.json","3978","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\nano_device_accelerator_evidence.csv","6779","9/8/2026 10:49:48 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\nano_device_accelerator_evidence_summary.txt","4779","9/8/2026 10:49:48 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\nonideality_proxy_by_device.csv","8665","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\nonideality_proxy_scope.json","2056","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\nonideality_proxy_summary.csv","774","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ood_uncertainty_by_device.csv","3120","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ood_uncertainty_overview.csv","322","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\pareto_front_by_device.csv","26511","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\pareto_overview.csv","303","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\pareto_scope.json","856","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\pareto_summary_by_device.csv","1786","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\quantization_diagnostics.csv","539","9/7/2026 5:53:09 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ratio_accuracy_sensitivity.csv","3590","9/7/2026 10:41:57 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ratio_accuracy_sensitivity_adc6.csv","3774","9/7/2026 10:50:56 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\ratio_sensitivity.csv","3710","9/7/2026 10:29:37 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\reverse_design_candidates.csv","12113390","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\reverse_design_experiment_matches.csv","93917","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\reverse_design_experiment_match_summary.csv","317","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\reverse_design_requirements.csv","32290","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\reverse_design_summary.csv","273","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\scenario_registry.csv","9766","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\sensitivity_by_device.csv","3168","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\sensitivity_factor_levels.csv","11463","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\sensitivity_summary.csv","424","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage17_ablation_by_device.csv","8212","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage17_ablation_scope.json","1027","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage17_ablation_summary.csv","823","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage18_pareto_by_device.csv","20857","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage18_pareto_points.csv","691830","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage18_pareto_scope.json","1994","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\stage18_pareto_summary.csv","499","9/13/2026 2:01:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\state_count_accuracy_sensitivity.csv","1275","9/7/2026 10:57:14 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\TaOx_01_config_sweep.csv","35730","9/8/2026 2:13:30 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\TaOx_02_config_sweep.csv","1319","9/3/2026 5:24:04 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\TiOx_02_Au_config_sweep.csv","38172","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\TiOx_02_Ni_config_sweep.csv","37498","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\TiOx_02_Pt_config_sweep.csv","38081","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\TiOx_03_config_sweep.csv","37355","9/8/2026 3:25:31 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\TiOx_04_config_sweep.csv","40635","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\traceability_audit.csv","2574","9/8/2026 10:43:28 AM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_family_predictions.csv","1268625","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_family_summary.csv","16073","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_predictions.csv","1312261","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_reliability_penalties.csv","5801","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_study_predictions.csv","1318141","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_study_summary.csv","16627","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_summary.csv","16603","9/12/2026 9:11:54 PM"
"C:\Users\User\Desktop\memristor_project\results\tables\zero_shot_validation_overview.csv","1101","9/12/2026 9:11:54 PM"
