device_id,technology_family,crossbar_size,requested_weight_bits,effective_conductance_levels,adc_bits,accuracy,accuracy_loss
TaOx_02,TaOx,32,6,63,8,96.3,-0.06999999999999318
TaOx_02,TaOx,64,6,63,8,96.23,0.0
TaOx_02,TaOx,16,6,63,8,96.23,0.0
TaOx_02,TaOx,16,6,63,6,96.21,0.020000000000010232
TaOx_02,TaOx,64,6,63,6,96.21,0.020000000000010232
TaOx_02,TaOx,32,6,63,6,96.19,0.04000000000000625
TaOx_02,TaOx,64,4,15,8,96.1,0.13000000000000966
TaOx_02,TaOx,32,4,15,8,96.07,0.1600000000000108
TaOx_02,TaOx,16,4,15,8,96.06,0.1700000000000017
TaOx_02,TaOx,16,4,15,6,96.03,0.20000000000000284
TaOx_02,TaOx,32,4,15,6,95.97,0.2600000000000051
TaOx_02,TaOx,64,4,15,6,95.93,0.29999999999999716
TaOx_02,TaOx,16,6,63,4,95.2,1.0300000000000011
TaOx_02,TaOx,16,4,15,4,95.12,1.1099999999999994
TaOx_02,TaOx,32,6,63,4,94.43,1.7999999999999972
TaOx_02,TaOx,32,4,15,4,94.16,2.0700000000000074
TaOx_02,TaOx,64,4,15,4,91.59,4.640000000000001
TaOx_02,TaOx,64,6,63,4,90.32,5.910000000000011
TaOx_02,TaOx,16,2,3,4,12.01,84.22
TaOx_02,TaOx,64,2,3,4,11.95,84.28
TaOx_02,TaOx,32,2,3,4,11.85,84.38000000000001
TaOx_02,TaOx,64,2,3,6,11.5,84.73
TaOx_02,TaOx,32,2,3,8,11.5,84.73
TaOx_02,TaOx,16,2,3,8,11.47,84.76
TaOx_02,TaOx,64,2,3,8,11.44,84.79
TaOx_02,TaOx,16,2,3,6,11.38,84.85000000000001
TaOx_02,TaOx,32,2,3,6,11.3,84.93
