device_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,7,127,127,,2,10,96.31,-0.0799999999999983
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,6,63,63,,2,10,96.29,-0.060000000000002274
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,6,63,63,,2,10,96.28,-0.04999999999999716
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,6,63,63,,2,10,96.25,-0.01999999999999602
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,8,255,255,,2,10,96.24,-0.009999999999990905
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,8,255,255,,2,10,96.24,-0.009999999999990905
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,5,31,31,,2,10,96.23,0.0
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,5,31,31,,2,10,96.23,0.0
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,7,127,127,,2,10,96.21,0.020000000000010232
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,8,255,255,,2,10,96.21,0.020000000000010232
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,7,127,127,,2,9,96.2,0.030000000000001137
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,7,127,127,,2,10,96.19,0.04000000000000625
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,7,127,127,,2,10,96.19,0.04000000000000625
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,6,63,63,,2,10,96.19,0.04000000000000625
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,6,63,63,,2,10,96.18,0.04999999999999716
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,5,31,31,,2,9,96.18,0.04999999999999716
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,8,255,255,,2,10,96.17,0.060000000000002274
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,8,255,255,,2,9,96.14,0.09000000000000341
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,5,31,31,,2,10,96.14,0.09000000000000341
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,8,255,255,,2,10,96.14,0.09000000000000341
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,8,255,255,,2,9,96.13,0.10000000000000853
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,6,63,63,,2,9,96.12,0.10999999999999943
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,4,15,15,,2,10,96.1,0.13000000000000966
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,7,127,127,,2,10,96.09,0.14000000000000057
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,4,15,15,,2,10,96.08,0.15000000000000568
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,5,31,31,,2,10,96.08,0.15000000000000568
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,5,31,31,,2,10,96.06,0.1700000000000017
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,6,63,63,,2,9,96.06,0.1700000000000017
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,7,127,127,,2,9,96.05,0.18000000000000682
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,7,127,127,,2,8,96.03,0.20000000000000284
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,4,15,15,,2,9,96.03,0.20000000000000284
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,4,15,15,,2,9,96.0,0.23000000000000398
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,4,15,15,,2,10,96.0,0.23000000000000398
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,6,63,63,,2,8,95.97,0.2600000000000051
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,5,31,31,,2,8,95.97,0.2600000000000051
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,4,15,15,,2,10,95.96,0.27000000000001023
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,4,15,15,,2,10,95.95,0.28000000000000114
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,7,127,127,,2,9,95.95,0.28000000000000114
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,5,31,31,,2,9,95.89,0.3400000000000034
TiOx_02_Ni,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,4,15,15,,2,9,95.89,0.3400000000000034
