device_id,technology_family,crossbar_size,requested_weight_bits,effective_conductance_levels,adc_bits,accuracy,accuracy_loss
ZnO_01,ZnO,16,2,3,4,12.06,84.17
ZnO_01,ZnO,16,6,3,4,12.06,84.17
ZnO_01,ZnO,16,4,3,4,12.06,84.17
ZnO_01,ZnO,32,2,3,4,11.91,84.32000000000001
ZnO_01,ZnO,64,2,3,4,11.91,84.32000000000001
ZnO_01,ZnO,32,6,3,4,11.91,84.32000000000001
ZnO_01,ZnO,64,6,3,4,11.91,84.32000000000001
ZnO_01,ZnO,64,4,3,4,11.91,84.32000000000001
ZnO_01,ZnO,32,4,3,4,11.91,84.32000000000001
ZnO_01,ZnO,16,6,3,8,11.51,84.72
ZnO_01,ZnO,16,2,3,8,11.51,84.72
ZnO_01,ZnO,16,4,3,8,11.51,84.72
ZnO_01,ZnO,64,4,3,6,11.48,84.75
ZnO_01,ZnO,64,2,3,6,11.48,84.75
ZnO_01,ZnO,64,6,3,6,11.48,84.75
ZnO_01,ZnO,32,2,3,8,11.37,84.86
ZnO_01,ZnO,16,6,3,6,11.37,84.86
ZnO_01,ZnO,16,4,3,6,11.37,84.86
ZnO_01,ZnO,16,2,3,6,11.37,84.86
ZnO_01,ZnO,32,4,3,8,11.37,84.86
ZnO_01,ZnO,32,6,3,8,11.37,84.86
ZnO_01,ZnO,64,4,3,8,11.35,84.88000000000001
ZnO_01,ZnO,64,2,3,8,11.35,84.88000000000001
ZnO_01,ZnO,64,6,3,8,11.35,84.88000000000001
ZnO_01,ZnO,32,2,3,6,11.27,84.96000000000001
ZnO_01,ZnO,32,6,3,6,11.27,84.96000000000001
ZnO_01,ZnO,32,4,3,6,11.27,84.96000000000001
