device_id,study_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss,network_weight_count,estimated_memristor_cells,base_crossbar_tiles,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,6,96.31,-0.0799999999999983,101632,1016320,400,4000,64,256000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,8,96.3,-0.0699999999999931,101632,1016320,400,4000,256,1024000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,6,63,63,5.0,10,8,96.3,-0.0699999999999931,101632,1016320,28,280,256,71680
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,6,63,63,5.0,10,10,96.3,-0.0699999999999931,101632,1016320,5,50,1024,51200
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,10,96.29,-0.0600000000000022,101632,1016320,400,4000,1024,4096000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,8,96.29,-0.0600000000000022,101632,1016320,104,1040,256,266240
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,6,63,63,5.0,10,9,96.29,-0.0600000000000022,101632,1016320,5,50,512,25600
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,10,96.29,-0.0600000000000022,101632,1016320,104,1040,1024,1064960
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,7,96.28,-0.0499999999999971,101632,1016320,400,4000,128,512000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,6,63,63,5.0,10,10,96.28,-0.0499999999999971,101632,1016320,28,280,1024,286720
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,7,96.28,-0.0499999999999971,101632,1016320,104,1040,128,133120
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,8,255,255,7.0,14,10,96.28,-0.0499999999999971,101632,1422848,5,70,1024,71680
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,8,255,255,7.0,14,9,96.27,-0.039999999999992,101632,1422848,400,5600,512,2867200
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,6,63,63,5.0,10,6,96.27,-0.039999999999992,101632,1016320,5,50,64,3200
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,8,255,255,7.0,14,10,96.27,-0.039999999999992,101632,1422848,28,392,1024,401408
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,6,63,63,5.0,10,10,96.27,-0.039999999999992,101632,1016320,8,80,1024,81920
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,9,96.27,-0.039999999999992,101632,1016320,400,4000,512,2048000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,5,96.27,-0.039999999999992,101632,1016320,104,1040,32,33280
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,8,255,255,7.0,14,10,96.27,-0.039999999999992,101632,1422848,400,5600,1024,5734400
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,8,255,255,7.0,14,10,96.27,-0.039999999999992,101632,1422848,8,112,1024,114688
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,6,63,63,5.0,10,7,96.27,-0.039999999999992,101632,1016320,5,50,128,6400
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,7,127,127,6.0,12,7,96.27,-0.039999999999992,101632,1219584,8,96,128,12288
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,8,255,255,7.0,14,8,96.26,-0.0300000000000011,101632,1422848,104,1456,256,372736
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,8,255,255,7.0,14,7,96.26,-0.0300000000000011,101632,1422848,104,1456,128,186368
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,8,255,255,7.0,14,7,96.26,-0.0300000000000011,101632,1422848,8,112,128,14336
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,6,63,63,5.0,10,9,96.26,-0.0300000000000011,101632,1016320,28,280,512,143360
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,8,255,255,7.0,14,10,96.26,-0.0300000000000011,101632,1422848,104,1456,1024,1490944
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,8,255,255,7.0,14,5,96.26,-0.0300000000000011,101632,1422848,400,5600,32,179200
