device_id,conductance_mode,experiment_type,crossbar_size,requested_weight_bits,adc_bits,original_gmin,original_gmax,original_on_off_ratio,conductance_scale_factor,scaled_gmin,scaled_gmax,scaled_on_off_ratio,effective_weight_levels,max_abs_output_difference,mean_abs_output_difference,argmax_same,levels_same,numerical_tolerance,scale_invariance_pass,scientific_interpretation,limitation
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,0.001,1e-06,0.001,1000.0000000000001,15,2.384185791015625e-07,3.3502146834507585e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,0.01,1e-05,0.01,999.9999999999999,15,2.384185791015625e-07,3.3141986932605505e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,0.1,0.0001,0.1,1000.0,15,2.384185791015625e-07,3.359036782057956e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,1.0,0.001,1.0,1000.0,15,0.0,0.0,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,10.0,0.01,10.0,1000.0,15,1.7881393432617188e-07,3.555396688170731e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,100.0,0.1,100.0,1000.0,15,2.384185791015625e-07,3.505283530103043e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
ZnO_01,DISCRETE_BINARY,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.001,1.0,1000.0,1000.0,1.0,1000.0,1000.0,15,1.7881393432617188e-07,3.270906745456159e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,0.001,3.125e-10,9.090909090909091e-07,2909.090909090909,13,2.980232238769531e-07,4.6900822781026363e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,0.01,3.1250000000000003e-09,9.090909090909091e-06,2909.090909090909,13,2.384185791015625e-07,4.182220436632633e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,0.1,3.1250000000000005e-08,9.090909090909092e-05,2909.090909090909,13,2.384185791015625e-07,4.154571797698736e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,1.0,3.125e-07,0.0009090909090909091,2909.090909090909,13,0.0,0.0,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,10.0,3.125e-06,0.00909090909090909,2909.090909090909,13,2.980232238769531e-07,5.078618414700031e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,100.0,3.125e-05,0.09090909090909091,2909.090909090909,13,2.384185791015625e-07,4.794856067746878e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TaOx_01,DISCRETE_MULTILEVEL,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,3.125e-07,0.0009090909090909091,2909.090909090909,1000.0,0.0003125,0.9090909090909091,2909.090909090909,13,2.384185791015625e-07,3.7834979593753815e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,0.001,0.0002,0.001,5.0,15,5.364418029785156e-07,1.2153759598731995e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,0.01,0.002,0.01,5.0,15,5.364418029785156e-07,1.1059455573558807e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,0.1,0.020000000000000004,0.1,4.999999999999999,15,4.76837158203125e-07,1.1186057236045599e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,1.0,0.2,1.0,5.0,15,0.0,0.0,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
