crossbar_size,weight_bits,adc_bits,accuracy,accuracy_loss
64,6,8,96.23,0.0
32,6,6,96.19,0.04000000000000625
32,6,8,96.15,0.0799999999999983
64,4,8,96.12,0.10999999999999943
16,6,8,96.1,0.13000000000000966
64,4,6,96.1,0.13000000000000966
32,4,8,96.1,0.13000000000000966
16,4,8,96.09,0.14000000000000057
64,6,6,96.04,0.18999999999999773
32,4,6,95.94,0.29000000000000625
16,6,6,95.89,0.3400000000000034
16,4,6,95.82,0.4100000000000108
32,6,4,94.82,1.4100000000000108
32,4,4,94.63,1.6000000000000085
64,4,4,94.39,1.8400000000000034
64,6,4,94.3,1.9300000000000068
16,6,4,91.96,4.27000000000001
16,4,4,91.32,4.910000000000011
64,2,8,86.17,10.060000000000002
32,2,8,86.1,10.13000000000001
16,2,8,86.05,10.180000000000007
32,2,6,86.0,10.230000000000004
64,2,6,85.85,10.38000000000001
16,2,6,85.57,10.66000000000001
32,2,4,83.64,12.590000000000003
64,2,4,83.47,12.760000000000005
16,2,4,81.9,14.329999999999998
