device_id,technology_family,active_material,device_stack,thickness_source_property,thickness_original_value,thickness_original_unit,thickness_representation,thickness_nominal_available,active_layer_thickness_nominal_nm,active_layer_thickness_lower_nm,active_layer_thickness_upper_nm,thickness_uncertainty,thickness_uncertainty_type,thickness_value_type,thickness_source_title,thickness_doi,thickness_page,thickness_figure_or_table,thickness_source_note,crystallite_size_nm,crystallite_value_type,crystallite_source_title,crystallite_doi,crystallite_page,crystallite_figure_or_table,crystallite_source_note
ZnO_01,ZnO,ZnO,Ag/ZnO/FTO,film_thickness,34,um,SINGLE_VALUE,True,34000.0,34000.0,34000.0,0.0,NONE,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Figure 3(a),Cross-sectional SEM gives ZnO film thickness of 34 um,62.0,DERIVED,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Figure 3(b),Average ZnO crystallite size calculated from XRD using Scherrer relation
HfOx_01,HfOx,HfO2,TiN/Ti/HfO2/W,thickness_nm,10,nm,SINGLE_VALUE,True,10.0,10.0,10.0,0.0,NONE,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1(a),HfO2 layer thickness,,,,,,,
TiOx_01,TiOx,TiO2,Pt/TiO2/Pt,thickness_nm,31,nm,SINGLE_VALUE,True,31.0,31.0,31.0,0.0,NONE,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20,,Total TiO2 layer thickness is 31 nm,,,,,,,
ZnO_02,ZnO,ZnO,Ag/ZnO/Ti/Glass,thickness_nm,100,nm,SINGLE_VALUE,True,100.0,100.0,100.0,0.0,NONE,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,,26,,ZnO layer thickness,,,,,,,
HfOx_02,HfOx,HfO2,TiN/Ti/HfO2/TiN,thickness_nm,5.5,nm,SINGLE_VALUE,True,5.5,5.5,5.5,0.0,NONE,EXPERIMENTAL,Physics-based compact modelling of the analog dynamics of HfOx resistive memories,10.1088/2634-4386/ac7327,3,Figure 1(a),HfO2 oxide thickness,,,,,,,
TaOx_02,TaOx,TaOx,Ta/TaOx/Pt,thickness_nm,10-18,nm,REPORTED_RANGE,False,,10.0,18.0,,RANGE,EXPERIMENTAL,Quantized conductance coincides with state instability and excess noise in tantalum oxide memristors,10.1038/ncomms11142,5,Methods,Reported TaOx film thickness range,,,,,,,
TiOx_02_Ni,TiOx,TiO2-x,Au/TiO2/Ni,thickness_nm,24.1 ± 0.27,nm,NOMINAL_PLUS_MINUS_ABSOLUTE,True,24.1,23.830000000000002,24.37,0.27,ABSOLUTE_NM,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer,,,,,,,
TaOx_01,TaOx,TaOx,Pt/W/TaOx/Pt,thickness_nm,7,nm,SINGLE_VALUE,True,7.0,7.0,7.0,0.0,NONE,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,2,Figure 1,TaOx switching-layer thickness,,,,,,,
TiOx_02_Au,TiOx,TiO2-x,Au/TiO2/Au,thickness_nm,24.1 ± 0.27,nm,NOMINAL_PLUS_MINUS_ABSOLUTE,True,24.1,23.830000000000002,24.37,0.27,ABSOLUTE_NM,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer,,,,,,,
TiOx_02_Pt,TiOx,TiO2-x,Au/TiO2/Pt,thickness_nm,24.1 ± 0.27,nm,NOMINAL_PLUS_MINUS_ABSOLUTE,True,24.1,23.830000000000002,24.37,0.27,ABSOLUTE_NM,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer,,,,,,,
TiOx_03,TiOx,TiO2,Cu/anodic-TiO2/Ti,thickness_nm,29 ± 5%,nm,NOMINAL_PLUS_MINUS_PERCENT,True,29.0,27.55,30.45,5.0,PERCENT,DERIVED_FROM_FABRICATION,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,5,Table 1,S2 is the thickest oxide sample and matches the device with ROFF/RON about 80,,,,,,,
