device_id,study_id,technology_family,device_on_off_ratio,device_conductance_mode,device_state_count_status,state_count_available,physical_state_count,parameter_source,mapping_strategy,precision_basis,on_off_ratio_available,absolute_electrical_values_available,normalized_ratio_only,fixed_state_count_available,state_count_evidence,idealized_mapping,evidence_items_available,evidence_items_total,evidence_coverage_fraction,scenario_status,scenario_reasons
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,NOT_REPORTED,0,0,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,True,True,False,False,NOT_REPORTED,True,2,4,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,NOT_REPORTED,0,0,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,True,False,True,False,NOT_REPORTED,True,1,4,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,NOT_REPORTED,0,0,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,True,False,True,False,NOT_REPORTED,True,1,4,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,DERIVED,1,7,absolute,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,True,True,False,True,REPORTED_OR_DERIVED_FIXED_COUNT,False,4,4,1.0,LITERATURE_CONSTRAINED,none
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,NOT_REPORTED,0,0,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,True,True,False,False,NOT_REPORTED,True,2,4,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,NOT_REPORTED,0,0,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,True,True,False,False,NOT_REPORTED,True,2,4,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,NOT_REPORTED,0,0,absolute,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,True,True,False,False,NOT_REPORTED,True,2,4,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,NOT_REPORTED,0,0,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,True,False,True,False,NOT_REPORTED,True,1,4,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,NOT_REPORTED,0,0,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,True,False,True,False,NOT_REPORTED,True,1,4,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,DISCRETE_BINARY,REPORTED,1,2,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,True,False,True,True,REPORTED_OR_DERIVED_FIXED_COUNT,False,3,4,0.75,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio
