device_id,scenario_id,proxy_for,proxy_only,calibrated_to_device_nonideality_data,baseline_crossbar,baseline_weight_bits,baseline_adc_bits,baseline_accuracy,baseline_relative_hardware_cost_proxy,requested_weight_bit_loss,requested_adc_bit_loss,target_weight_bits,target_adc_bits,selected_crossbar,selected_weight_bits,selected_adc_bits,exact_target_configuration_found,stressed_accuracy,accuracy_drop_pp,stressed_relative_hardware_cost_proxy,cost_proxy_change
HfOx_01,BASELINE,none,True,False,128,6,8,96.32,4096.0,0,0,6,8,128,6,8,True,96.32,0.0,4096.0,0.0
HfOx_01,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,128,6,8,96.32,4096.0,1,0,5,8,128,5,8,True,96.17,0.14999999999999147,4096.0,0.0
HfOx_01,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,128,6,8,96.32,4096.0,0,1,6,7,128,6,7,True,96.17,0.14999999999999147,2048.0,-2048.0
HfOx_01,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,128,6,8,96.32,4096.0,1,1,5,7,128,5,7,True,96.14,0.1799999999999926,2048.0,-2048.0
HfOx_01,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,128,6,8,96.32,4096.0,2,2,4,6,128,4,6,True,95.78,0.539999999999992,1024.0,-3072.0
HfOx_02,BASELINE,none,True,False,64,6,8,96.3,14336.0,0,0,6,8,64,6,8,True,96.3,0.0,14336.0,0.0
HfOx_02,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,64,6,8,96.3,14336.0,1,0,5,8,64,5,8,True,96.2,0.09999999999999432,14336.0,0.0
HfOx_02,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,64,6,8,96.3,14336.0,0,1,6,7,64,6,7,True,96.15,0.14999999999999147,7168.0,-7168.0
HfOx_02,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,64,6,8,96.3,14336.0,1,1,5,7,64,5,7,True,96.17,0.12999999999999545,7168.0,-7168.0
HfOx_02,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,64,6,8,96.3,14336.0,2,2,4,6,64,4,6,True,95.79,0.5099999999999909,3584.0,-10752.0
HfZrOx_01,BASELINE,none,True,False,16,6,10,96.34,819200.0,0,0,6,10,16,6,10,True,96.34,0.0,819200.0,0.0
HfZrOx_01,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,16,6,10,96.34,819200.0,1,0,5,10,16,5,10,True,96.17,0.1700000000000017,819200.0,0.0
HfZrOx_01,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,16,6,10,96.34,819200.0,0,1,6,9,16,6,9,True,96.23,0.10999999999999943,409600.0,-409600.0
HfZrOx_01,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,16,6,10,96.34,819200.0,1,1,5,9,16,5,9,True,96.17,0.1700000000000017,409600.0,-409600.0
HfZrOx_01,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,16,6,10,96.34,819200.0,2,2,4,8,16,4,8,True,96.09,0.25,204800.0,-614400.0
TaOx_01,BASELINE,none,True,False,64,8,9,96.17,28672.0,0,0,8,9,64,8,9,True,96.17,0.0,28672.0,0.0
TaOx_01,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,64,8,9,96.17,28672.0,1,0,7,9,64,7,9,True,96.17,0.0,28672.0,0.0
TaOx_01,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,64,8,9,96.17,28672.0,0,1,8,8,64,8,8,True,96.08,0.09000000000000341,14336.0,-14336.0
TaOx_01,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,64,8,9,96.17,28672.0,1,1,7,8,64,7,8,True,96.08,0.09000000000000341,14336.0,-14336.0
TaOx_01,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,64,8,9,96.17,28672.0,2,2,6,7,64,6,7,True,95.95,0.21999999999999886,7168.0,-21504.0
TiOx_02_Au,BASELINE,none,True,False,64,6,10,96.32,57344.0,0,0,6,10,64,6,10,True,96.32,0.0,57344.0,0.0
TiOx_02_Au,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,64,6,10,96.32,57344.0,1,0,5,10,64,5,10,True,96.17,0.14999999999999147,57344.0,0.0
TiOx_02_Au,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,64,6,10,96.32,57344.0,0,1,6,9,64,6,9,True,96.21,0.10999999999999943,28672.0,-28672.0
TiOx_02_Au,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,64,6,10,96.32,57344.0,1,1,5,9,64,5,9,True,96.18,0.13999999999998636,28672.0,-28672.0
TiOx_02_Au,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,64,6,10,96.32,57344.0,2,2,4,8,64,4,8,True,96.03,0.28999999999999204,14336.0,-43008.0
TiOx_02_Ni,BASELINE,none,True,False,32,7,10,96.31,212992.0,0,0,7,10,32,7,10,True,96.31,0.0,212992.0,0.0
TiOx_02_Ni,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,32,7,10,96.31,212992.0,1,0,6,10,32,6,10,True,96.29,0.01999999999999602,212992.0,0.0
TiOx_02_Ni,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,32,7,10,96.31,212992.0,0,1,7,9,32,7,9,True,96.05,0.2600000000000051,106496.0,-106496.0
TiOx_02_Ni,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,32,7,10,96.31,212992.0,1,1,6,9,32,6,9,True,96.12,0.18999999999999773,106496.0,-106496.0
TiOx_02_Ni,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,32,7,10,96.31,212992.0,2,2,5,8,32,5,8,True,95.6,0.710000000000008,53248.0,-159744.0
TiOx_02_Pt,BASELINE,none,True,False,128,6,8,96.35,4096.0,0,0,6,8,128,6,8,True,96.35,0.0,4096.0,0.0
TiOx_02_Pt,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,128,6,8,96.35,4096.0,1,0,5,8,128,5,8,True,96.23,0.11999999999999034,4096.0,0.0
TiOx_02_Pt,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,128,6,8,96.35,4096.0,0,1,6,7,128,6,7,True,95.96,0.39000000000000057,2048.0,-2048.0
TiOx_02_Pt,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,128,6,8,96.35,4096.0,1,1,5,7,128,5,7,True,95.88,0.46999999999999886,2048.0,-2048.0
TiOx_02_Pt,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,128,6,8,96.35,4096.0,2,2,4,6,128,4,6,True,94.67,1.6799999999999926,1024.0,-3072.0
TiOx_03,BASELINE,none,True,False,256,6,8,96.34,2560.0,0,0,6,8,256,6,8,True,96.34,0.0,2560.0,0.0
