device_id,total_configurations,pareto_points,pareto_fraction,best_accuracy,best_accuracy_crossbar,best_accuracy_weight_bits,best_accuracy_adc_bits,best_accuracy_cost_proxy,absolute_min_cost_proxy,absolute_min_cost_accuracy,within_0p5pp_accuracy,within_0p5pp_accuracy_loss_pp,within_0p5pp_crossbar,within_0p5pp_weight_bits,within_0p5pp_adc_bits,within_0p5pp_cost_proxy,within_0p5pp_cost_reduction_vs_best_pct,within_0p5pp_memristor_cells,within_0p5pp_crossbar_tiles
HfOx_01,245,10,0.04081632653061224,96.32,128,6,8,4096.0,160.0,83.11,95.86,0.45999999999999375,256,7,6,640.0,84.375,203264,10
HfOx_02,245,9,0.036734693877551024,96.3,64,6,8,14336.0,160.0,77.12,96.19,0.10999999999999943,256,6,7,1280.0,91.07142857142857,203264,10
HfZrOx_01,245,12,0.04897959183673469,96.34,16,6,10,819200.0,160.0,33.19,96.03,0.3100000000000023,256,6,7,1280.0,99.84375,203264,10
TaOx_01,245,13,0.053061224489795916,96.17,64,8,9,28672.0,160.0,74.41,95.8,0.37000000000000455,256,6,6,640.0,97.76785714285714,203264,10
TiOx_02_Au,245,11,0.044897959183673466,96.32,64,6,10,57344.0,160.0,42.56,95.93,0.38999999999998636,256,8,7,1280.0,97.76785714285714,203264,10
TiOx_02_Ni,245,12,0.04897959183673469,96.31,32,7,10,212992.0,160.0,8.92,96.24,0.07000000000000739,256,8,10,10240.0,95.1923076923077,203264,10
TiOx_02_Pt,245,9,0.036734693877551024,96.35,128,6,8,4096.0,160.0,57.18,96.01,0.3399999999999892,256,6,7,1280.0,68.75,203264,10
TiOx_03,245,8,0.0326530612244898,96.34,256,6,8,2560.0,160.0,77.68,95.99,0.3500000000000085,256,7,6,640.0,75.0,203264,10
TiOx_04,245,9,0.036734693877551024,96.32,16,6,8,204800.0,160.0,77.76,96.01,0.30999999999998806,256,6,6,640.0,99.6875,203264,10
ZnO_01,245,14,0.05714285714285714,96.31,16,6,6,256000.0,160.0,10.16,95.89,0.4200000000000017,256,4,5,960.0,99.625,609792,30
