device_template,conductance_mode,physical_states,original_device_ratio,tested_on_off_ratio,matches_original_ratio,gmax,gmin,crossbar_size,requested_weight_bits,adc_bits,effective_weight_levels,software_baseline_accuracy,hardware_accuracy,accuracy_loss,experiment_type
ZnO_01,DISCRETE_BINARY,2.0,1000.0,2.0,False,1.0,0.5,32,4,4,15,96.23,92.82,3.410000000000011,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,5.0,False,1.0,0.2,32,4,4,15,96.23,96.08,0.15000000000000568,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,10.0,False,1.0,0.1,32,4,4,15,96.23,95.11,1.1200000000000045,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,20.0,False,1.0,0.05,32,4,4,15,96.23,95.66,0.5700000000000074,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,50.0,False,1.0,0.02,32,4,4,15,96.23,95.73,0.5,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,100.0,False,1.0,0.01,32,4,4,15,96.23,95.9,0.3299999999999983,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,500.0,False,1.0,0.002,32,4,4,15,96.23,95.98,0.25,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,1000.0,True,1.0,0.001,32,4,4,15,96.23,95.97,0.2600000000000051,CONTROLLED_RATIO_ABLATION
ZnO_01,DISCRETE_BINARY,2.0,1000.0,3000.0,False,1.0,0.0003333333333333333,32,4,4,15,96.23,95.91,0.3200000000000074,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,2.0,False,1.0,0.5,32,4,4,13,96.23,67.98,28.25,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,5.0,False,1.0,0.2,32,4,4,13,96.23,93.04,3.1899999999999977,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,10.0,False,1.0,0.1,32,4,4,13,96.23,92.13,4.1000000000000085,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,20.0,False,1.0,0.05,32,4,4,13,96.23,94.11,2.1200000000000045,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,50.0,False,1.0,0.02,32,4,4,13,96.23,93.97,2.260000000000005,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,100.0,False,1.0,0.01,32,4,4,13,96.23,94.29,1.9399999999999977,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,500.0,False,1.0,0.002,32,4,4,13,96.23,94.17,2.0600000000000023,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,1000.0,False,1.0,0.001,32,4,4,13,96.23,94.32,1.9100000000000108,CONTROLLED_RATIO_ABLATION
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,3000.0,False,1.0,0.0003333333333333333,32,4,4,13,96.23,94.47,1.7600000000000051,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,2.0,False,1.0,0.5,32,4,4,15,96.23,69.24,26.99000000000001,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,5.0,True,1.0,0.2,32,4,4,15,96.23,93.13,3.1000000000000085,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,10.0,False,1.0,0.1,32,4,4,15,96.23,92.46,3.7700000000000102,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,20.0,False,1.0,0.05,32,4,4,15,96.23,94.7,1.5300000000000011,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,50.0,False,1.0,0.02,32,4,4,15,96.23,93.77,2.460000000000008,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,100.0,False,1.0,0.01,32,4,4,15,96.23,93.9,2.3299999999999983,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,500.0,False,1.0,0.002,32,4,4,15,96.23,94.17,2.0600000000000023,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,1000.0,False,1.0,0.001,32,4,4,15,96.23,94.24,1.990000000000009,CONTROLLED_RATIO_ABLATION
HfOx_02,ANALOG,,5.0,3000.0,False,1.0,0.0003333333333333333,32,4,4,15,96.23,94.31,1.9200000000000017,CONTROLLED_RATIO_ABLATION
