device_template,conductance_mode,physical_states,original_device_ratio,tested_on_off_ratio,matches_original_ratio,gmax,gmin,crossbar_size,requested_weight_bits,adc_bits,effective_weight_levels,software_baseline_accuracy,hardware_accuracy,accuracy_loss,experiment_type
ZnO_01,DISCRETE_BINARY,2.0,1000.0,2.0,False,1.0,0.5,32,4,6,15,96.23,95.91,0.3200000000000074,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,5.0,False,1.0,0.2,32,4,6,15,96.23,96.14,0.09000000000000341,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,10.0,False,1.0,0.1,32,4,6,15,96.23,95.99,0.2400000000000091,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,20.0,False,1.0,0.05,32,4,6,15,96.23,96.05,0.18000000000000682,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,50.0,False,1.0,0.02,32,4,6,15,96.23,96.02,0.21000000000000796,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,100.0,False,1.0,0.01,32,4,6,15,96.23,96.02,0.21000000000000796,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,500.0,False,1.0,0.002,32,4,6,15,96.23,96.04,0.18999999999999773,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,1000.0,True,1.0,0.001,32,4,6,15,96.23,96.07,0.1600000000000108,CONTROLLED_RATIO_ABLATION_ADC6
ZnO_01,DISCRETE_BINARY,2.0,1000.0,3000.0,False,1.0,0.0003333333333333333,32,4,6,15,96.23,96.07,0.1600000000000108,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,2.0,False,1.0,0.5,32,4,6,13,96.23,95.66,0.5700000000000074,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,5.0,False,1.0,0.2,32,4,6,13,96.23,95.96,0.27000000000001023,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,10.0,False,1.0,0.1,32,4,6,13,96.23,96.01,0.21999999999999886,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,20.0,False,1.0,0.05,32,4,6,13,96.23,95.92,0.3100000000000023,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,50.0,False,1.0,0.02,32,4,6,13,96.23,95.82,0.4100000000000108,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,100.0,False,1.0,0.01,32,4,6,13,96.23,95.95,0.28000000000000114,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,500.0,False,1.0,0.002,32,4,6,13,96.23,95.97,0.2600000000000051,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,1000.0,False,1.0,0.001,32,4,6,13,96.23,95.98,0.25,CONTROLLED_RATIO_ABLATION_ADC6
TaOx_01,DISCRETE_MULTILEVEL,7.0,2909.090909090909,3000.0,False,1.0,0.0003333333333333333,32,4,6,13,96.23,95.92,0.3100000000000023,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,2.0,False,1.0,0.5,32,4,6,15,96.23,95.66,0.5700000000000074,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,5.0,True,1.0,0.2,32,4,6,15,96.23,96.04,0.18999999999999773,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,10.0,False,1.0,0.1,32,4,6,15,96.23,95.94,0.29000000000000625,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,20.0,False,1.0,0.05,32,4,6,15,96.23,95.95,0.28000000000000114,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,50.0,False,1.0,0.02,32,4,6,15,96.23,96.01,0.21999999999999886,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,100.0,False,1.0,0.01,32,4,6,15,96.23,96.04,0.18999999999999773,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,500.0,False,1.0,0.002,32,4,6,15,96.23,96.0,0.23000000000000398,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,1000.0,False,1.0,0.001,32,4,6,15,96.23,96.02,0.21000000000000796,CONTROLLED_RATIO_ABLATION_ADC6
HfOx_02,ANALOG,,5.0,3000.0,False,1.0,0.0003333333333333333,32,4,6,15,96.23,96.0,0.23000000000000398,CONTROLLED_RATIO_ABLATION_ADC6
