device_template,conductance_mode,physical_states,crossbar_size,weight_bits,adc_bits,on_off_ratio,gmax,gmin,effective_weight_levels,mean_abs_difference_vs_high_ratio,max_abs_difference_vs_high_ratio,argmax_agreement_vs_high_ratio,argmax_agreement_vs_software,mean_abs_error_vs_software
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,2.0,1.0,0.5,15,0.2694479823112488,1.1288965940475464,0.484375,0.4375,0.2376527488231659
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,5.0,1.0,0.2,15,0.15715038776397705,0.6387364864349365,0.75,0.734375,0.1329791098833084
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,10.0,1.0,0.1,15,0.19312132894992828,0.7033462524414062,0.546875,0.671875,0.1425560563802719
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,20.0,1.0,0.05,15,0.17073753476142883,0.6981712579727173,0.640625,0.78125,0.11995037645101547
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,50.0,1.0,0.02,15,0.16508549451828003,0.7804092168807983,0.703125,0.796875,0.123666912317276
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,100.0,1.0,0.01,15,0.10548481345176697,0.5460652112960815,0.734375,0.703125,0.11395672708749771
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,500.0,1.0,0.002,15,0.030329694971442223,0.4452318847179413,0.984375,0.75,0.11007408052682877
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,1000.0,1.0,0.001,15,0.015052069909870625,0.44572335481643677,0.96875,0.765625,0.10814724862575531
ZnO_01,DISCRETE_BINARY,2.0,32,4,4,3000.0,1.0,0.0003333333333333333,15,0.0041770124807953835,0.27793776988983154,0.984375,0.75,0.10768744349479675
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,2.0,1.0,0.5,13,0.3905140161514282,1.5434057712554932,0.296875,0.359375,0.33900707960128784
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,5.0,1.0,0.2,13,0.29356417059898376,1.1434346437454224,0.421875,0.640625,0.20971235632896423
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,10.0,1.0,0.1,13,0.2686760127544403,0.9347624182701111,0.40625,0.671875,0.18657101690769196
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,20.0,1.0,0.05,13,0.2591627538204193,0.8964409828186035,0.4375,0.6875,0.1804695427417755
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,50.0,1.0,0.02,13,0.23826995491981506,0.8527641296386719,0.375,0.703125,0.17978563904762268
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,100.0,1.0,0.01,13,0.1484159529209137,0.8389661312103271,0.578125,0.5625,0.1742003709077835
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,500.0,1.0,0.002,13,0.03506030514836311,0.7251148223876953,1.0,0.5,0.17734435200691223
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,1000.0,1.0,0.001,13,0.020973648875951767,0.6494350433349609,0.984375,0.5,0.17822228372097015
TaOx_01,DISCRETE_MULTILEVEL,7.0,32,4,4,3000.0,1.0,0.0003333333333333333,13,0.008616581559181213,0.4115374982357025,0.984375,0.5,0.17692679166793823
HfOx_02,ANALOG,,32,4,4,2.0,1.0,0.5,15,0.4073100984096527,1.5038179159164429,0.21875,0.3125,0.3441527187824249
HfOx_02,ANALOG,,32,4,4,5.0,1.0,0.2,15,0.3022131323814392,1.04100501537323,0.296875,0.40625,0.21520695090293884
HfOx_02,ANALOG,,32,4,4,10.0,1.0,0.1,15,0.25731948018074036,0.9347624182701111,0.421875,0.578125,0.17824029922485352
HfOx_02,ANALOG,,32,4,4,20.0,1.0,0.05,15,0.2662111818790436,0.8748771548271179,0.328125,0.59375,0.1784917116165161
HfOx_02,ANALOG,,32,4,4,50.0,1.0,0.02,15,0.23103216290473938,0.8527641296386719,0.46875,0.609375,0.17674043774604797
HfOx_02,ANALOG,,32,4,4,100.0,1.0,0.01,15,0.15607371926307678,0.8350196480751038,0.59375,0.5625,0.17469486594200134
HfOx_02,ANALOG,,32,4,4,500.0,1.0,0.002,15,0.042047739028930664,0.44150787591934204,0.8125,0.484375,0.17550303041934967
HfOx_02,ANALOG,,32,4,4,1000.0,1.0,0.001,15,0.02015586756169796,0.44150787591934204,0.859375,0.484375,0.17533347010612488
HfOx_02,ANALOG,,32,4,4,3000.0,1.0,0.0003333333333333333,15,0.00673568295314908,0.42113348841667175,0.953125,0.46875,0.17624758183956146
