held_out_device,held_out_study,held_out_family,method,candidate_mae_pp,candidate_rmse_pp,recommended_crossbar,recommended_weight_bits,recommended_adc_bits,recommended_predicted_accuracy,recommended_actual_accuracy,oracle_best_accuracy,recommendation_regret_pp,near_optimal_success,training_rows,training_devices,training_studies
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,FIXED_TRAINING_CONFIG,,,64,6,10,,96.27,96.32,0.04999999999999716,True,2205,9,7
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,3.6123813286746294,6.793215580218506,64,6,10,96.26986051575675,96.27,96.32,0.04999999999999716,True,2205,9,7
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_PLUS_ON_OFF,0.3806271417616445,1.252989421432959,128,6,10,96.2878172380955,96.28,96.32,0.03999999999999204,True,2205,9,7
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_PLUS_ON_OFF_MODE,0.38084903780958557,1.2558130728962746,128,6,10,96.28871419841285,96.28,96.32,0.03999999999999204,True,2205,9,7
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,FULL_DEVICE_AWARE,0.37779147502135313,1.2458656675294604,128,6,10,96.2886058650795,96.28,96.32,0.03999999999999204,True,2205,9,7
HfOx_02,10.1088/2634-4386/ac7327,HfOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.3,96.3,0.0,True,2205,9,7
HfOx_02,10.1088/2634-4386/ac7327,HfOx,HARDWARE_ONLY,3.215844321627788,5.935595828614178,16,6,10,96.26897249896992,96.3,96.3,0.0,True,2205,9,7
HfOx_02,10.1088/2634-4386/ac7327,HfOx,HARDWARE_PLUS_ON_OFF,1.8612157736571793,4.88256978912755,16,6,10,96.30021005555561,96.3,96.3,0.0,True,2205,9,7
HfOx_02,10.1088/2634-4386/ac7327,HfOx,HARDWARE_PLUS_ON_OFF_MODE,2.8385071264982162,7.003942703774997,16,6,10,96.30037065079364,96.3,96.3,0.0,True,2205,9,7
HfOx_02,10.1088/2634-4386/ac7327,HfOx,FULL_DEVICE_AWARE,2.8493470512458074,7.011757109487001,16,6,10,96.30035781746034,96.3,96.3,0.0,True,2205,9,7
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FIXED_TRAINING_CONFIG,,,32,6,10,,96.25,96.34,0.09000000000000341,True,2205,9,7
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,3.3018249919708507,8.070518226387845,32,6,10,96.26736197280724,96.25,96.34,0.09000000000000341,True,2205,9,7
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_PLUS_ON_OFF,2.747070843881961,7.27011079611879,16,6,10,96.29206459523824,96.34,96.34,0.0,True,2205,9,7
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_PLUS_ON_OFF_MODE,2.7583551078275383,7.287634681987924,16,6,10,96.29069178571449,96.34,96.34,0.0,True,2205,9,7
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,2.7611375199487553,7.289473738983621,16,6,10,96.29091111904785,96.34,96.34,0.0,True,2205,9,7
TaOx_01,10.1038/s41598-017-18329-3,TaOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.1,96.17,0.07000000000000739,True,2205,9,7
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,3.228781364316336,5.934007892895989,16,6,10,96.29066023703393,96.1,96.17,0.07000000000000739,True,2205,9,7
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_PLUS_ON_OFF,1.3671338621661768,4.552038960450454,32,6,10,96.29098419047645,96.1,96.17,0.07000000000000739,True,2205,9,7
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_PLUS_ON_OFF_MODE,0.7686031794586416,2.4531415446247298,16,6,10,96.2891910109891,96.1,96.17,0.07000000000000739,True,2205,9,7
TaOx_01,10.1038/s41598-017-18329-3,TaOx,FULL_DEVICE_AWARE,0.6491866858291441,2.1744594118199334,16,6,7,96.18486621428572,96.07,96.17,0.10000000000000853,True,2205,9,7
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.27,96.32,0.04999999999999716,True,1715,7,7
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,HARDWARE_ONLY,3.5627087946970826,8.459240842601004,16,6,10,96.2708272643044,96.27,96.32,0.04999999999999716,True,1715,7,7
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF,2.6588676521394707,6.0938221495269635,16,6,10,96.29467769047616,96.27,96.32,0.04999999999999716,True,1715,7,7
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF_MODE,2.6590299931737196,6.094200737267336,16,6,10,96.29326548412698,96.27,96.32,0.04999999999999716,True,1715,7,7
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,FULL_DEVICE_AWARE,2.6590036762729348,6.093967855925179,16,6,10,96.29314215079363,96.27,96.32,0.04999999999999716,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,HARDWARE_ONLY,19.977868676528082,34.27384603209079,16,6,10,96.27082726430439,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF,15.831064934891181,26.896905843137255,16,6,10,96.29467769047616,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF_MODE,15.832249898760194,26.89774541236186,16,6,10,96.29326548412698,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,FULL_DEVICE_AWARE,15.831862175887142,26.897029358285973,16,6,10,96.29314215079361,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.31,96.35,0.03999999999999204,True,1715,7,7
