held_out_device,held_out_study,held_out_family,method,true_pareto_points,predicted_pareto_points,exact_overlap_points,pareto_recall,pareto_precision,pareto_f1,normalized_front_distance,true_normalized_hypervolume,predicted_normalized_hypervolume,hypervolume_abs_error,mean_cost_budget_regret_pp,max_cost_budget_regret_pp,training_rows,training_devices,training_studies,budget_details_json
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,10,15,4,0.4,0.26666666666666666,0.32,0.024380092103867743,0.9999542981390727,0.9991526860681246,0.0008016120709480878,0.049999999999993605,0.06999999999999318,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.19, ""chosen_actual_accuracy"": 96.15, ""chosen_predicted_accuracy"": 93.89705996280482, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.25, ""chosen_predicted_accuracy"": 96.14993166450382, ""regret_pp"": 0.06999999999999318}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.28, ""chosen_predicted_accuracy"": 96.2384849934404, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.27, ""chosen_predicted_accuracy"": 96.26986051575675, ""regret_pp"": 0.04999999999999716}]"
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,FULL_DEVICE_AWARE,10,11,3,0.3,0.2727272727272727,0.28571428571428564,0.01517801894630589,0.9999542981390727,0.9995770954990248,0.00037720264004781345,0.02999999999999403,0.03999999999999204,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.19, ""chosen_actual_accuracy"": 96.15, ""chosen_predicted_accuracy"": 96.21044668253973, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.32, ""chosen_predicted_accuracy"": 96.27469494444436, ""regret_pp"": 0.0}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.28, ""chosen_predicted_accuracy"": 96.28860586507949, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.28, ""chosen_predicted_accuracy"": 96.28860586507949, ""regret_pp"": 0.03999999999999204}]"
HfOx_02,10.1088/2634-4386/ac7327,HfOx,HARDWARE_ONLY,9,15,2,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.056625763094848416,0.999929390785095,0.9993650544961759,0.000564336288919165,0.07000000000000028,0.12000000000000455,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.19, ""chosen_actual_accuracy"": 96.07, ""chosen_predicted_accuracy"": 93.90356132484439, ""regret_pp"": 0.12000000000000455}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.25, ""chosen_actual_accuracy"": 96.13, ""chosen_predicted_accuracy"": 96.15612383457929, ""regret_pp"": 0.12000000000000455}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.3, ""chosen_actual_accuracy"": 96.26, ""chosen_predicted_accuracy"": 96.24075478527197, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.3, ""chosen_actual_accuracy"": 96.3, ""chosen_predicted_accuracy"": 96.2689724989699, ""regret_pp"": 0.0}]"
HfOx_02,10.1088/2634-4386/ac7327,HfOx,FULL_DEVICE_AWARE,9,14,2,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.08058648709843072,0.999929390785095,0.9996586777827378,0.00027071300235725904,0.014999999999997016,0.03999999999999204,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.19, ""chosen_actual_accuracy"": 96.19, ""chosen_predicted_accuracy"": 95.98892352669557, ""regret_pp"": 0.0}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.25, ""chosen_actual_accuracy"": 96.23, ""chosen_predicted_accuracy"": 96.27066623809534, ""regret_pp"": 0.01999999999999602}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.3, ""chosen_actual_accuracy"": 96.26, ""chosen_predicted_accuracy"": 96.27223584737487, ""regret_pp"": 0.03999999999999204}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.3, ""chosen_actual_accuracy"": 96.3, ""chosen_predicted_accuracy"": 96.30035781746035, ""regret_pp"": 0.0}]"
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,12,16,4,0.3333333333333333,0.25,0.28571428571428575,0.08191205849498268,0.9993159355880435,0.9989235635149313,0.0003923720731122682,0.08000000000000185,0.1599999999999966,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.03, ""chosen_actual_accuracy"": 95.87, ""chosen_predicted_accuracy"": 93.91628066610932, ""regret_pp"": 0.1599999999999966}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.26, ""chosen_actual_accuracy"": 96.26, ""chosen_predicted_accuracy"": 96.14865397228259, ""regret_pp"": 0.0}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.29, ""chosen_actual_accuracy"": 96.22, ""chosen_predicted_accuracy"": 96.24494941158453, ""regret_pp"": 0.07000000000000739}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.34, ""chosen_actual_accuracy"": 96.25, ""chosen_predicted_accuracy"": 96.26736197280722, ""regret_pp"": 0.09000000000000341}]"
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.03994083956407221,0.9993159355880435,0.9992021430479074,0.00011379254013610396,0.05750000000000455,0.14000000000000057,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.03, ""chosen_actual_accuracy"": 95.89, ""chosen_predicted_accuracy"": 95.97144408730162, ""regret_pp"": 0.14000000000000057}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.26, ""chosen_actual_accuracy"": 96.24, ""chosen_predicted_accuracy"": 96.2473060238094, ""regret_pp"": 0.020000000000010232}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.29, ""chosen_actual_accuracy"": 96.22, ""chosen_predicted_accuracy"": 96.26751946031749, ""regret_pp"": 0.07000000000000739}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.34, ""chosen_actual_accuracy"": 96.34, ""chosen_predicted_accuracy"": 96.29091111904785, ""regret_pp"": 0.0}]"
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,57,16,9,0.15789473684210525,0.5625,0.2465753424657534,0.04822984387110189,0.9999094586851763,0.9997743075352873,0.00013515114988904564,0.032500000000002416,0.07000000000000739,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.01, ""chosen_actual_accuracy"": 96.01, ""chosen_predicted_accuracy"": 93.93975897950583, ""regret_pp"": 0.0}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.08, ""chosen_actual_accuracy"": 96.08, ""chosen_predicted_accuracy"": 96.16752833407674, ""regret_pp"": 0.0}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.17, ""chosen_actual_accuracy"": 96.11, ""chosen_predicted_accuracy"": 96.25695861566776, ""regret_pp"": 0.060000000000002274}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.17, ""chosen_actual_accuracy"": 96.1, ""chosen_predicted_accuracy"": 96.29066023703392, ""regret_pp"": 0.07000000000000739}]"
TaOx_01,10.1038/s41598-017-18329-3,TaOx,FULL_DEVICE_AWARE,57,12,7,0.12280701754385964,0.5833333333333334,0.20289855072463764,0.016058889381693132,0.9999094586851763,0.9999650626411936,5.560395601722501e-05,0.07500000000000284,0.12999999999999545,2205,9,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 96.01, ""chosen_actual_accuracy"": 96.01, ""chosen_predicted_accuracy"": 96.13891768326127, ""regret_pp"": 0.0}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.08, ""chosen_actual_accuracy"": 95.95, ""chosen_predicted_accuracy"": 96.17594148268398, ""regret_pp"": 0.12999999999999545}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.17, ""chosen_actual_accuracy"": 96.1, ""chosen_predicted_accuracy"": 96.17780309307359, ""regret_pp"": 0.07000000000000739}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.17, ""chosen_actual_accuracy"": 96.07, ""chosen_predicted_accuracy"": 96.18486621428572, ""regret_pp"": 0.10000000000000853}]"
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,HARDWARE_ONLY,11,13,3,0.2727272727272727,0.23076923076923078,0.24999999999999994,0.06770216103594034,0.9997062430461237,0.9992400657197407,0.00046617732638298826,0.09250000000000114,0.14000000000000057,1715,7,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 95.93, ""chosen_actual_accuracy"": 95.81, ""chosen_predicted_accuracy"": 96.14953594624994, ""regret_pp"": 0.12000000000000455}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.27, ""chosen_actual_accuracy"": 96.13, ""chosen_predicted_accuracy"": 96.24360635655195, ""regret_pp"": 0.14000000000000057}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.27, ""chosen_actual_accuracy"": 96.21, ""chosen_predicted_accuracy"": 96.25915614696088, ""regret_pp"": 0.060000000000002274}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.27, ""chosen_predicted_accuracy"": 96.27082726430439, ""regret_pp"": 0.04999999999999716}]"
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,FULL_DEVICE_AWARE,11,16,4,0.36363636363636365,0.25,0.2962962962962963,0.06640039923328574,0.9997062430461237,0.9993269319814309,0.00037931106469279996,0.08500000000000085,0.12000000000000455,1715,7,7,"[{""budget_quantile"": 0.25, ""budget"": 1920.0, ""oracle_accuracy"": 95.93, ""chosen_actual_accuracy"": 95.81, ""chosen_predicted_accuracy"": 95.9969026587302, ""regret_pp"": 0.12000000000000455}, {""budget_quantile"": 0.5, ""budget"": 8192.0, ""oracle_accuracy"": 96.27, ""chosen_actual_accuracy"": 96.16, ""chosen_predicted_accuracy"": 96.24368018253966, ""regret_pp"": 0.10999999999999943}, {""budget_quantile"": 0.75, ""budget"": 39936.0, ""oracle_accuracy"": 96.27, ""chosen_actual_accuracy"": 96.21, ""chosen_predicted_accuracy"": 96.26489407936499, ""regret_pp"": 0.060000000000002274}, {""budget_quantile"": 1.0, ""budget"": 819200.0, ""oracle_accuracy"": 96.32, ""chosen_actual_accuracy"": 96.27, ""chosen_predicted_accuracy"": 96.29314215079363, ""regret_pp"": 0.04999999999999716}]"
