held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,0,128,6,8,IDEALIZED_SINGLE_PAIR_GRADUAL,4096.0,96.32,95.88984608095822,True,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,1,16,6,9,IDEALIZED_SINGLE_PAIR_GRADUAL,409600.0,96.31,96.22400336514984,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,2,16,6,10,IDEALIZED_SINGLE_PAIR_GRADUAL,819200.0,96.3,96.26882415141176,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,3,64,6,7,IDEALIZED_SINGLE_PAIR_GRADUAL,7168.0,96.3,95.6326782589322,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,4,32,6,10,IDEALIZED_SINGLE_PAIR_GRADUAL,212992.0,96.3,96.26161190967763,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,5,256,6,10,IDEALIZED_SINGLE_PAIR_GRADUAL,10240.0,96.3,96.23232083335417,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,6,64,8,7,IDEALIZED_SINGLE_PAIR_GRADUAL,7168.0,96.3,95.62287725952571,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,7,16,6,8,IDEALIZED_SINGLE_PAIR_GRADUAL,204800.0,96.28,96.21449009902835,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,8,128,6,10,IDEALIZED_SINGLE_PAIR_GRADUAL,16384.0,96.28,96.2384849934404,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,9,64,7,7,IDEALIZED_SINGLE_PAIR_GRADUAL,7168.0,96.27,95.61415419891081,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,10,64,6,10,IDEALIZED_SINGLE_PAIR_GRADUAL,57344.0,96.27,96.26986051575675,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,11,16,8,6,IDEALIZED_SINGLE_PAIR_GRADUAL,51200.0,96.27,95.73142987423522,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,12,32,6,8,IDEALIZED_SINGLE_PAIR_GRADUAL,53248.0,96.26,96.13665667727483,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,13,64,6,9,IDEALIZED_SINGLE_PAIR_GRADUAL,28672.0,96.26,96.20622152440053,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,14,32,6,9,IDEALIZED_SINGLE_PAIR_GRADUAL,106496.0,96.26,96.22658268940037,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,15,256,8,10,IDEALIZED_SINGLE_PAIR_GRADUAL,10240.0,96.26,96.2127681856024,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,16,256,8,8,IDEALIZED_SINGLE_PAIR_GRADUAL,2560.0,96.26,95.7553214438617,True,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,17,32,8,8,IDEALIZED_SINGLE_PAIR_GRADUAL,53248.0,96.25,96.12134755795184,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,18,16,8,9,IDEALIZED_SINGLE_PAIR_GRADUAL,409600.0,96.25,96.21635395933485,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,19,32,7,9,IDEALIZED_SINGLE_PAIR_GRADUAL,106496.0,96.25,96.1924829375249,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,20,32,8,9,IDEALIZED_SINGLE_PAIR_GRADUAL,106496.0,96.25,96.22461777944766,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,21,256,6,8,IDEALIZED_SINGLE_PAIR_GRADUAL,2560.0,96.25,95.84151800452976,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,22,128,6,9,IDEALIZED_SINGLE_PAIR_GRADUAL,8192.0,96.25,96.14993166450382,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,23,64,8,9,IDEALIZED_SINGLE_PAIR_GRADUAL,28672.0,96.25,96.18192315260403,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,24,64,7,9,IDEALIZED_SINGLE_PAIR_GRADUAL,28672.0,96.24,96.19577183108223,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,25,256,7,9,IDEALIZED_SINGLE_PAIR_GRADUAL,5120.0,96.24,96.12487194238078,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,26,256,6,9,IDEALIZED_SINGLE_PAIR_GRADUAL,5120.0,96.24,96.14284333463448,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,27,16,8,10,IDEALIZED_SINGLE_PAIR_GRADUAL,819200.0,96.24,96.226618879813,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,28,16,6,6,IDEALIZED_SINGLE_PAIR_GRADUAL,51200.0,96.24,95.75622207687485,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,29,32,8,10,IDEALIZED_SINGLE_PAIR_GRADUAL,212992.0,96.24,96.23167082425306,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,30,32,5,8,IDEALIZED_SINGLE_PAIR_GRADUAL,53248.0,96.23,96.08451253922377,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,31,16,7,9,IDEALIZED_SINGLE_PAIR_GRADUAL,409600.0,96.23,96.20447745672637,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,32,32,7,8,IDEALIZED_SINGLE_PAIR_GRADUAL,53248.0,96.23,96.14258410031334,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,33,64,7,8,IDEALIZED_SINGLE_PAIR_GRADUAL,14336.0,96.23,96.01337389644179,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,34,128,7,8,IDEALIZED_SINGLE_PAIR_GRADUAL,4096.0,96.23,95.79924210999562,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,35,256,8,9,IDEALIZED_SINGLE_PAIR_GRADUAL,5120.0,96.22,96.12457585808625,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,36,64,8,10,IDEALIZED_SINGLE_PAIR_GRADUAL,57344.0,96.22,96.22281690254508,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,37,32,6,7,IDEALIZED_SINGLE_PAIR_GRADUAL,26624.0,96.22,95.92839466220147,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,38,256,7,10,IDEALIZED_SINGLE_PAIR_GRADUAL,10240.0,96.22,96.18570445784948,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,39,128,7,9,IDEALIZED_SINGLE_PAIR_GRADUAL,8192.0,96.22,96.1318751878729,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,40,256,7,8,IDEALIZED_SINGLE_PAIR_GRADUAL,2560.0,96.22,95.84544444766024,False,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,41,16,7,8,IDEALIZED_SINGLE_PAIR_GRADUAL,204800.0,96.22,96.18440060928833,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,42,16,8,7,IDEALIZED_SINGLE_PAIR_GRADUAL,102400.0,96.22,96.04460467290546,False,False
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,HARDWARE_ONLY,43,16,7,7,IDEALIZED_SINGLE_PAIR_GRADUAL,102400.0,96.22,96.05986807211741,False,False
