method,held_out_device,held_out_study,training_devices,training_rows,test_rows,candidate_mae_pp,candidate_rmse_pp,actual_best_accuracy,selected_actual_accuracy,selected_predicted_accuracy,regret_pp,selected_crossbar_size,selected_weight_bits,selected_adc_bits
RIDGE,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,245,15.158298843218525,19.665965022180508,96.32,96.21,110.82124890184542,0.10999999999999943,16,7,10
RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,245,0.3777914750213522,1.2458656675294597,96.32,96.28,96.2886058650795,0.03999999999999204,128,6,10
EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,245,0.4249969442176885,1.3340431494754228,96.32,96.27,96.28521600000028,0.04999999999999716,64,6,10
GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,245,0.8739501289663365,1.365528287356002,96.32,96.19,97.55282566949438,0.12999999999999545,16,6,5
MLP,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,245,1.1191860272768899,1.5845094690332286,96.32,95.96,99.46078050189509,0.35999999999999943,16,5,5
RIDGE,HfOx_02,10.1088/2634-4386/ac7327,9,2205,245,15.791171127427221,19.997054488735596,96.3,96.24,107.84190020938152,0.060000000000002274,16,7,10
RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,245,2.849347051245807,7.011757109487,96.3,96.3,96.30035781746035,0.0,16,6,10
EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,245,2.979302396307101,7.5783011156355515,96.3,96.3,96.3016903333333,0.0,16,6,10
GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,245,2.425140392505148,4.536242251055017,96.3,96.25,97.25400587690193,0.04999999999999716,16,7,6
MLP,HfOx_02,10.1088/2634-4386/ac7327,9,2205,245,2.8393191470638097,3.5632938417506175,96.3,95.87,100.09147944992206,0.4299999999999926,16,8,5
RIDGE,HfZrOx_01,10.1002/pssr.202000524,9,2205,245,16.65431313152578,21.05108120217797,96.34,96.19,105.94394922739602,0.15000000000000568,16,7,10
RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,245,2.761137519948754,7.289473738983619,96.34,96.34,96.29091111904785,0.0,16,6,10
