seed,method,held_out_device,held_out_study,training_devices,training_rows,candidate_mae_pp,candidate_rmse_pp,regret_pp,success_le_0_5pp
7,RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.3773400304679433,1.246620584317843,0.03999999999999204,1
7,EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.4739344344023491,1.4920168385744361,0.04999999999999716,1
7,GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.8739501289663376,1.3655282873560017,0.12999999999999545,1
7,RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.818636879412427,6.903898060125409,0.0,1
7,EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.8721689306122467,7.2948992441728695,0.0,1
7,GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.4251403925051473,4.536242251055023,0.04999999999999716,1
7,RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,2.7669626273388745,7.305468288171002,0.0,1
7,EXTRA_TREES,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.8357821020407967,10.13480524011378,0.0,1
7,GRADIENT_BOOSTING,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.5194725400676994,8.381209177805385,0.1700000000000017,1
7,RANDOM_FOREST,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.6633111644167475,2.2394269514290785,0.10000000000000853,1
7,EXTRA_TREES,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.8628183908648914,2.43422496341423,0.07000000000000739,1
7,GRADIENT_BOOSTING,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.8986928444752957,1.5293244208656465,0.28000000000000114,1
7,RANDOM_FOREST,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.6522712085920794,6.0874634527045774,0.04999999999999716,1
7,EXTRA_TREES,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.065554678717226,4.9901535781023325,0.04999999999999716,1
7,GRADIENT_BOOSTING,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.7871377712176724,5.987918747509571,0.23999999999999488,1
7,RANDOM_FOREST,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,15.83715263865997,26.904060798346197,0.060000000000002274,1
7,EXTRA_TREES,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,17.68907522954323,29.91169821277192,0.060000000000002274,1
7,GRADIENT_BOOSTING,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,16.22100058561995,27.05468417057265,3.680000000000007,0
7,RANDOM_FOREST,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.7657189655553194,7.397276501077397,0.03999999999999204,1
7,EXTRA_TREES,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,1.0598981994169165,2.801342386034498,0.03999999999999204,1
7,GRADIENT_BOOSTING,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.935366885349792,6.430375938898666,0.2599999999999909,1
7,RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1806489496111603,0.33857563052998596,0.04999999999999716,1
7,EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1730086588921423,0.3739088705107409,0.04999999999999716,1
7,GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.7804664473659859,1.1836811486000476,0.14000000000000057,1
7,RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.19246650144594513,0.5280365300864746,0.04999999999999716,1
7,EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.35562992089408174,1.1373939784064369,0.04999999999999716,1
7,GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.7452899840344281,1.0789884869051778,0.0899999999999892,1
7,RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,1.2943636931773532,4.315759386329982,0.060000000000002274,1
7,EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,1.3317666954324896,4.409892926015238,0.04999999999999716,1
7,GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,1.8809084771976792,4.403212936936546,0.04999999999999716,1
21,RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.3775231237005667,1.2443736895325284,0.03999999999999204,1
21,EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.4788469393586149,1.4838985974504078,0.04999999999999716,1
21,GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.8739501289663372,1.3655282873560024,0.12999999999999545,1
21,RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.831716494476038,6.929345381237014,0.0,1
21,EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.8926396357628796,7.353253841490785,0.0,1
21,GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.4251403925051442,4.5362422510550156,0.04999999999999716,1
21,RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,2.7611044077951528,7.298784834605432,0.0,1
21,EXTRA_TREES,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.806608664528659,10.034908286712302,0.0,1
21,GRADIENT_BOOSTING,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.519472540067701,8.381209177805385,0.1700000000000017,1
21,RANDOM_FOREST,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.6718295078001298,2.283448608245293,0.10000000000000853,1
21,EXTRA_TREES,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.8367717278911506,2.248826466145344,0.10000000000000853,1
21,GRADIENT_BOOSTING,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.9491198310154664,1.5665637758116255,0.28000000000000114,1
21,RANDOM_FOREST,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.6543391011251742,6.0822165836113085,0.04999999999999716,1
21,EXTRA_TREES,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.077487841010715,5.020607507802651,0.04999999999999716,1
21,GRADIENT_BOOSTING,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.7871377712176755,5.98791874750957,0.23999999999999488,1
21,RANDOM_FOREST,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,15.83154377412383,26.891896543549933,0.060000000000002274,1
21,EXTRA_TREES,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,17.660599347716218,29.863614508165696,0.060000000000002274,1
21,GRADIENT_BOOSTING,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,16.221000585619947,27.05468417057265,3.680000000000007,0
21,RANDOM_FOREST,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.77078093359793,7.398441857784208,0.03999999999999204,1
21,EXTRA_TREES,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,1.1051345885325707,2.9164303924357324,0.03999999999999204,1
21,GRADIENT_BOOSTING,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.9353668853497976,6.430375938898668,0.2599999999999909,1
21,RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.17724490846070134,0.33198083102910175,0.04999999999999716,1
21,EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1783120798833844,0.36950845118993614,0.04999999999999716,1
21,GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.7804664473659864,1.1836811486000494,0.14000000000000057,1
21,RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.18554118147815593,0.5009766810752682,0.04999999999999716,1
21,EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.35850787055395433,1.1381507679217975,0.04999999999999716,1
21,GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.7452899840344281,1.0789884869051778,0.0899999999999892,1
21,RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,1.293800332773816,4.315260342258047,0.060000000000002274,1
21,EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,1.3328925321671676,4.4141773548353305,0.04999999999999716,1
21,GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,1.8639240139367432,4.3760579035928835,0.04999999999999716,1
42,RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.37779147502135224,1.245865667529461,0.03999999999999204,1
42,EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.4249969442176885,1.3340431494754217,0.04999999999999716,1
42,GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.8739501289663365,1.365528287356002,0.12999999999999545,1
42,RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.8493470512458052,7.011757109487,0.0,1
42,EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.9793023963071015,7.578301115635553,0.0,1
42,GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.425140392505148,4.536242251055017,0.04999999999999716,1
42,RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,2.7611375199487536,7.289473738983618,0.0,1
42,EXTRA_TREES,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.873929466083572,10.228784052128054,0.0,1
42,GRADIENT_BOOSTING,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.519472540067699,8.381209177805385,0.1700000000000017,1
42,RANDOM_FOREST,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.6491866858291422,2.1744594118199334,0.10000000000000853,1
42,EXTRA_TREES,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.7723454274052322,2.3355257717578426,0.10000000000000853,1
42,GRADIENT_BOOSTING,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.9221572725014542,1.5455139958098367,0.28000000000000114,1
42,RANDOM_FOREST,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.6590036762729334,6.093967855925177,0.04999999999999716,1
42,EXTRA_TREES,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.0695030390670746,4.941391565643157,0.04999999999999716,1
42,GRADIENT_BOOSTING,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.7871377712176764,5.987918747509571,0.23999999999999488,1
42,RANDOM_FOREST,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,15.831862175887144,26.897029358285973,0.060000000000002274,1
42,EXTRA_TREES,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,17.565148695821165,29.66696254588705,0.060000000000002274,1
42,GRADIENT_BOOSTING,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,16.221000585619947,27.05468417057265,3.680000000000007,0
42,RANDOM_FOREST,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.772122189804762,7.409639231070016,0.03999999999999204,1
42,EXTRA_TREES,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,1.170400367346964,3.0887619600537457,0.03999999999999204,1
42,GRADIENT_BOOSTING,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.9353668853497976,6.430375938898668,0.2599999999999909,1
42,RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1761596978148795,0.3295506496197091,0.04999999999999716,1
42,EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1739134101069095,0.3702774975218469,0.04999999999999716,1
42,GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.7804664473659861,1.1836811486000485,0.14000000000000057,1
42,RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.1853705800072875,0.5032581351397422,0.04999999999999716,1
42,EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.3534491537415129,1.13127723730152,0.04999999999999716,1
42,GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.7452899840344249,1.0789884869051758,0.0899999999999892,1
42,RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,1.2898468437995225,4.300536486175911,0.060000000000002274,1
42,EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,1.3282058415938018,4.401490668104573,0.04999999999999716,1
42,GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,1.8577471062362305,4.364200713680562,0.04999999999999716,1
84,RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.37842458539918644,1.2464573095095288,0.03999999999999204,1
84,EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.4590043195335339,1.4359848784154319,0.04999999999999716,1
84,GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.8739501289663366,1.3655282873560017,0.12999999999999545,1
84,RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.887729449109386,7.086936891489468,0.0,1
84,EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.999530019047627,7.699477160883153,0.0,1
84,GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.4251403925051416,4.536242251055013,0.04999999999999716,1
84,RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,2.770625012115783,7.324578435602546,0.0,1
84,EXTRA_TREES,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.826002871720103,10.094291554260442,0.0,1
84,GRADIENT_BOOSTING,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.5194725400677007,8.381209177805385,0.1700000000000017,1
84,RANDOM_FOREST,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.6560291591718787,2.2312745191230388,0.10000000000000853,1
84,EXTRA_TREES,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.7016903770651063,2.3836661530018866,0.10000000000000853,1
84,GRADIENT_BOOSTING,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.999844599851716,1.6009069750226514,0.28000000000000114,1
84,RANDOM_FOREST,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.6595154493313955,6.09015575851714,0.04999999999999716,1
84,EXTRA_TREES,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.0697437018464684,4.960711617034765,0.04999999999999716,1
84,GRADIENT_BOOSTING,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.787137771217672,5.987918747509571,0.23999999999999488,1
84,RANDOM_FOREST,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,15.832120458169713,26.897451341148123,0.060000000000002274,1
84,EXTRA_TREES,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,17.693074712147716,29.912503196825615,0.060000000000002274,1
84,GRADIENT_BOOSTING,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,16.221000585619947,27.05468417057265,3.680000000000007,0
