"device_id","study_id","technology_family","ron_ohm","roff_ohm","on_off_ratio","read_voltage_v","conductance_mode","ppa_evidence_tier","ppa_policy_reason"
"ZnO_01","10.3390/electronics7120445","ZnO","","","1000.0","0.2","DISCRETE_BINARY","RATIO_ONLY_SENSITIVITY","Absolute RON/ROFF incomplete; absolute device-specific PPA is not claimed without an explicit sensitivity assumption."
"HfOx_01","10.1109/TNANO.2024.3485213","HfOx","55.7","2530.0","45.4","-0.2","GRADUAL_MULTILEVEL","ABSOLUTE_DEVICE_PPA","Absolute RON and ROFF available from reported or traceable derived evidence."
"HfOx_02","10.1088/2634-4386/ac7327","HfOx","","","5.0","0.1","ANALOG","RATIO_ONLY_SENSITIVITY","Absolute RON/ROFF incomplete; absolute device-specific PPA is not claimed without an explicit sensitivity assumption."
"TiOx_02_Ni","10.1038/s41598-019-44607-3","TiOx","6034.99","6682.12","1.10723","0.1","GRADUAL_MULTILEVEL","ABSOLUTE_DEVICE_PPA","Absolute RON and ROFF available from reported or traceable derived evidence."
"TaOx_01","10.1038/s41598-017-18329-3","TaOx","1100.0","3200000.0","2909.09","0.1","DISCRETE_MULTILEVEL","ABSOLUTE_DEVICE_PPA","Absolute RON and ROFF available from reported or traceable derived evidence."
"TiOx_02_Au","10.1038/s41598-019-44607-3","TiOx","9551.04","16293.87","1.705978","0.1","GRADUAL_MULTILEVEL","ABSOLUTE_DEVICE_PPA","Absolute RON and ROFF available from reported or traceable derived evidence."
"TiOx_02_Pt","10.1038/s41598-019-44607-3","TiOx","5368.34","11427.5","2.128684","0.1","GRADUAL_MULTILEVEL","ABSOLUTE_DEVICE_PPA","Absolute RON and ROFF available from reported or traceable derived evidence."
"TiOx_03","10.1016/j.spmi.2017.10.031","TiOx","","","80.0","","ANALOG","RATIO_ONLY_SENSITIVITY","Absolute RON/ROFF incomplete; absolute device-specific PPA is not claimed without an explicit sensitivity assumption."
"HfZrOx_01","10.1002/pssr.202000524","HfZrOx","","","2.0","0.1","ANALOG","RATIO_ONLY_SENSITIVITY","Absolute RON/ROFF incomplete; absolute device-specific PPA is not claimed without an explicit sensitivity assumption."
"TiOx_04","10.1007/s42835-019-00107-y","TiOx","","","76.0","0.2","GRADUAL_MULTILEVEL","RATIO_ONLY_SENSITIVITY","Absolute RON/ROFF incomplete; absolute device-specific PPA is not claimed without an explicit sensitivity assumption."
