validation_mode,held_out_group,held_out_device,held_out_study,held_out_family,training_devices,training_studies,training_families,training_device_ids,training_study_ids,training_family_ids,excluded_from_training_device_ids,same_study_training_leakage,same_family_present_in_training,training_rows,held_out_rows,held_out_group_rows,global_mae_pp,global_rmse_pp,global_r2,near_region_mae_pp,near_region_rmse_pp,mean_prediction_uncertainty_pp,uncertainty_error_correlation,safe_candidate_count,safe_candidate_precision,safe_candidate_recall,safe_candidate_overlap,predicted_candidate_count,true_near_optimal_candidate_count,candidate_precision,candidate_recall,candidate_overlap,true_raw_best_accuracy,true_cost_aware_crossbar,true_cost_aware_weight_bits,true_cost_aware_adc_bits,true_cost_aware_accuracy,true_near_optimal_threshold,baseline_crossbar,baseline_weight_bits,baseline_adc_bits,baseline_predicted_accuracy,baseline_uncertainty_pp,baseline_lower_bound,baseline_passes_confidence_gate,baseline_actual_accuracy,baseline_regret_pp,baseline_near_optimal_success,baseline_exact_match,baseline_cost_aware_rank,baseline_cost_aware_top3,baseline_cost_aware_top5,predicted_best_accuracy,predicted_near_optimal_threshold,confidence_crossbar,confidence_weight_bits,confidence_adc_bits,confidence_predicted_accuracy,confidence_uncertainty_pp,confidence_lower_bound,confidence_fallback_used,confidence_actual_accuracy,confidence_regret_pp,confidence_near_optimal_success,confidence_exact_match,confidence_cost_aware_rank,confidence_cost_aware_top3,confidence_cost_aware_top5,confidence_acceptance_threshold,search_reduction_pct
LEAVE_ONE_STUDY_OUT,10.1002/pssr.202000524,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,9,7,4,HfOx_01;HfOx_02;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;TiOx_04;ZnO_01,10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;TaOx;TiOx;ZnO,HfZrOx_01,False,False,2205,245,245,2.7611375199487584,7.289473738983639,0.943918187988547,0.03609093544011514,0.044575414279718964,0.5636522556235062,0.7196820716301282,110,0.9090909090909091,1.0,100,110,100,0.9090909090909091,1.0,100,96.34,256,6,7,96.03,95.84,256,4,7,95.88031084920635,0.06656208978083011,95.81374875942552,True,95.68,0.6599999999999966,False,False,,False,False,96.2909111190476,95.7909111190476,256,4,7,95.88031084920635,0.06656208978083011,95.81374875942552,False,95.68,0.6599999999999966,False,False,,False,False,95.7909111190476,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1007/s42835-019-00107-y,TiOx_04,10.1007/s42835-019-00107-y,TiOx,9,7,5,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;ZnO_01,10.1002/pssr.202000524;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,TiOx_04,False,True,2205,245,245,0.18537058000729528,0.5032581351397594,0.9997030428273812,0.034070831053241615,0.04758988385767233,0.2700498298995646,0.8788301377558833,129,1.0,0.9699248120300752,129,130,133,1.0,0.9774436090225563,130,96.32,256,5,6,95.82,95.82,256,6,6,95.85003459307359,0.04920293969580031,95.80083165337778,True,96.01,0.30999999999998806,True,False,2.0,True,True,96.29702636507936,95.79702636507936,256,6,6,95.85003459307359,0.04920293969580031,95.80083165337778,False,96.01,0.30999999999998806,True,False,2.0,True,True,95.79702636507936,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1016/j.spmi.2017.10.031,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,9,7,5,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,TiOx_03,False,True,2205,245,245,0.17615969781488355,0.3295506496197163,0.9998728176861241,0.04863229533429584,0.07804991995361682,0.20992572940381848,0.733022372506229,120,1.0,0.9090909090909091,120,123,132,1.0,0.9318181818181818,123,96.34,256,5,6,95.88,95.84,256,4,7,96.02020733910534,0.024663255980429993,95.99554408312491,True,96.0,0.3400000000000034,True,False,9.0,False,False,96.28946818253966,95.78946818253966,256,4,7,96.02020733910534,0.024663255980429993,95.99554408312491,False,96.0,0.3400000000000034,True,False,9.0,False,False,95.78946818253966,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1038/s41598-017-18329-3,TaOx_01,10.1038/s41598-017-18329-3,TaOx,9,7,4,HfOx_01;HfOx_02;HfZrOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TiOx;ZnO,TaOx_01,False,False,2205,245,245,0.6491866858291369,2.1744594118199454,0.9944609451737324,0.08994763468013386,0.11067488163429856,0.6430167828228837,0.9667198836582852,135,1.0,1.0,135,144,135,0.9375,1.0,135,96.17,256,4,6,95.8,95.67,256,4,6,95.94153973809523,0.1652864168457615,95.77625332124947,True,95.8,0.37000000000000455,True,True,1.0,True,True,96.18486621428572,95.68486621428572,256,4,6,95.94153973809523,0.1652864168457615,95.77625332124947,False,95.8,0.37000000000000455,True,True,1.0,True,True,95.68486621428572,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1038/s41598-019-44607-3,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,7,7,5,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt,False,True,1715,245,735,2.6590036762729348,6.09396785592517,0.9583906756948491,0.045963429910296574,0.06321524195314793,0.4522853119461972,0.6220440243825961,103,0.941747572815534,1.0,97,108,97,0.8981481481481481,1.0,97,96.32,256,7,7,95.89,95.82,256,4,7,95.83658339682539,0.11545990169371317,95.72112349513168,False,95.76,0.5599999999999881,False,False,,False,False,96.29314215079364,95.79314215079364,256,5,7,95.92516740476191,0.11071020964686423,95.81445719511504,False,95.58,0.7399999999999949,False,False,,False,False,95.79314215079364,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1038/s41598-019-44607-3,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,7,7,5,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt,False,True,1715,245,735,15.831862175887148,26.897029358285984,0.4624285246164731,0.11175672879589563,0.1552375289105637,0.4522853119461973,0.6471656636277984,103,0.4368932038834951,1.0,45,108,45,0.4166666666666667,1.0,45,96.31,256,4,10,95.95,95.81,256,4,7,95.83658339682539,0.11545990169371317,95.72112349513168,False,75.99,20.320000000000007,False,False,,False,False,96.29314215079364,95.79314215079364,256,5,7,95.92516740476191,0.11071020964686423,95.81445719511504,False,75.63,20.680000000000007,False,False,,False,False,95.79314215079364,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1038/s41598-019-44607-3,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,7,7,5,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt,False,True,1715,245,735,2.7721221898047532,7.409639231070008,0.9374040964038148,0.04489471203436469,0.07336502341907743,0.45228531194619714,0.5710956071521638,103,0.9805825242718447,0.9351851851851852,101,108,108,0.9722222222222222,0.9722222222222222,105,96.35,256,5,7,95.86,95.85,256,4,7,95.83658339682539,0.11545990169371317,95.72112349513168,False,95.83,0.519999999999996,False,False,,False,False,96.29314215079364,95.79314215079364,256,5,7,95.92516740476191,0.11071020964686423,95.81445719511504,False,95.86,0.4899999999999949,True,True,1.0,True,True,95.79314215079364,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1088/2634-4386/ac7327,HfOx_02,10.1088/2634-4386/ac7327,HfOx,9,7,5,HfOx_01;HfZrOx_01;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1109/TNANO.2024.3485213;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,HfOx_02,False,True,2205,245,245,2.8493470512458057,7.011757109486998,0.9422182792114343,0.08770691571173783,0.17396704021034665,1.458548681872864,0.9358019350964671,105,1.0,0.8823529411764706,105,110,119,1.0,0.9243697478991597,110,96.3,256,4,7,95.99,95.8,256,4,7,95.86422604761904,0.09269205374524865,95.77153399387379,False,95.99,0.3100000000000023,True,True,1.0,True,True,96.30035781746032,95.80035781746032,256,6,7,95.98892352669552,0.04812933988191844,95.94079418681359,False,96.19,0.10999999999999943,True,False,3.0,True,True,95.80035781746032,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.1109/TNANO.2024.3485213,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,9,7,5,HfOx_02;HfZrOx_01;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;TiOx_04;ZnO_01,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.3390/electronics7120445,HfOx;HfZrOx;TaOx;TiOx;ZnO,HfOx_01,False,True,2205,245,245,0.3777914750213511,1.2458656675294546,0.9981809428075067,0.03224734115710637,0.04457914239081846,0.11984543661570801,0.4652499589332293,132,0.9696969696969697,1.0,128,133,128,0.9624060150375939,1.0,128,96.32,256,6,6,95.83,95.82,256,5,6,95.89138243650794,0.05344167847052994,95.8379407580374,True,95.64,0.6799999999999926,False,False,,False,False,96.28860586507936,95.78860586507936,256,5,6,95.89138243650794,0.05344167847052994,95.8379407580374,False,95.64,0.6799999999999926,False,False,,False,False,95.78860586507936,99.59183673469387
LEAVE_ONE_STUDY_OUT,10.3390/electronics7120445,ZnO_01,10.3390/electronics7120445,ZnO,9,7,4,HfOx_01;HfOx_02;HfZrOx_01;TaOx_01;TiOx_02_Au;TiOx_02_Ni;TiOx_02_Pt;TiOx_03;TiOx_04,10.1002/pssr.202000524;10.1007/s42835-019-00107-y;10.1016/j.spmi.2017.10.031;10.1038/s41598-017-18329-3;10.1038/s41598-019-44607-3;10.1088/2634-4386/ac7327;10.1109/TNANO.2024.3485213,HfOx;HfZrOx;TaOx;TiOx,ZnO_01,False,False,2205,245,245,1.2898468437995103,4.300536486175883,0.9786401914752416,0.3605439026505183,0.9310426243901226,0.14673040303845794,0.7250591328992223,129,1.0,0.7914110429447853,129,132,163,1.0,0.8098159509202454,132,96.31,256,4,5,95.89,95.81,256,4,7,96.01366214285716,0.01933543666490296,95.99432670619225,True,96.04,0.269999999999996,True,False,5.0,False,True,96.29806612914862,95.79806612914862,256,4,7,96.01366214285716,0.01933543666490296,95.99432670619225,False,96.04,0.269999999999996,True,False,5.0,False,True,95.79806612914862,99.59183673469387
